0 mrad/s	1 mrad/s	2.5 mrad/s	4 mrad/s	5 mrad/s	6 mrad/s	7 mrad/s
9.41	9.42	9.42	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.41	9.41	9.41
9.39	9.41	9.41	9.41	9.42	9.4	9.42
9.42	9.42	9.36	9.41	9.41	9.42	9.41
9.42	9.39	9.41	9.41	9.41	9.42	9.42
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.42	9.41	9.41	9.42	9.41	9.41	9.41
9.42	9.42	9.41	9.41	9.42	9.41	9.42
9.42	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.42
9.42	9.41	9.42	9.42	9.41	9.41	9.41
9.38	9.42	9.41	9.41	9.41	9.42	9.41
9.42	9.41	9.41	9.42	9.42	9.41	9.41
9.42	9.41	9.42	9.41	9.41	9.41	9.42
9.42	9.41	9.41	9.42	9.41	9.42	9.41
9.39	9.42	9.41	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.42	9.41	9.41	9.4
9.41	9.42	9.41	9.41	9.36	9.41	9.4
9.41	9.41	9.41	9.42	9.41	9.41	9.41
9.37	9.4	9.4	9.38	9.39	9.4	9.41
9.4	9.41	9.41	9.4	9.41	9.41	2.87
9.41	9.4	9.41	9.37	9.27	9.31	0.0
9.41	9.41	9.4	9.41	9.41	9.41	8.51
9.41	9.41	9.4	9.39	9.4	9.4	9.4
9.4	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.38	9.41	9.41	3.49
9.41	9.41	9.41	9.41	9.41	9.4	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.4	9.4	9.41	9.41	9.41	9.4
9.41	9.41	9.41	9.4	9.41	9.41	9.41
9.41	9.4	9.41	9.42	9.41	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.39	9.41
9.42	9.41	9.42	9.41	9.41	9.41	9.4
9.41	9.42	9.41	9.41	9.41	9.42	9.42
9.42	9.42	9.42	9.4	9.39	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.42
9.41	9.41	9.41	9.42	9.41	9.42	9.41
9.41	9.41	9.42	9.41	9.41	9.41	2.35
9.41	9.38	9.41	9.41	9.42	9.41	0.0
9.41	9.41	9.41	9.41	9.41	9.41	9.04
9.39	9.42	9.41	9.42	9.42	9.41	9.41
9.41	9.41	9.42	9.41	9.41	9.39	9.42
9.41	9.42	9.42	9.42	9.41	9.42	9.41
9.41	9.42	9.38	9.41	9.41	9.42	9.41
9.4	9.41	9.42	9.41	9.42	9.35	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.4
9.39	9.42	9.41	9.4	9.41	9.41	9.41
9.41	9.42	9.41	9.42	9.41	9.42	9.39
9.41	9.42	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.42	9.41	9.42	9.41	9.4
9.41	9.42	9.42	9.41	9.4	9.39	9.4
9.41	9.41	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.42
9.42	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.42	9.41	9.42	9.4	9.4
9.42	9.41	9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.38	9.41	9.41	9.42	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.4	9.41
9.41	9.41	9.42	9.41	9.41	9.41	9.42
9.41	9.42	9.41	9.42	9.42	9.41	9.42
9.41	9.41	9.41	9.41	9.42	9.38	9.41
9.42	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.42	9.4	9.41	9.39	9.42	9.41
9.41	9.41	9.42	9.41	9.37	9.41	9.41
9.42	9.42	9.41	9.41	9.4	9.42	9.42
9.42	9.35	9.42	9.41	9.41	9.4	9.42
9.41	9.43	9.42	9.42	9.41	9.41	9.41
9.41	9.42	9.41	9.4	9.41	9.41	9.41
9.4	9.36	9.39	9.35	9.37	9.33	9.42
9.41	9.42	9.41	9.41	9.41	9.41	9.4
9.41	9.41	9.41	9.37	9.25	9.33	9.41
9.41	9.41	9.41	9.42	9.41	9.4	9.41
9.41	9.4	9.4	9.4	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.41	9.41	7.27
9.41	9.39	9.41	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.4	9.41	9.41	9.42
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.42	9.41	9.4	9.42	9.41
9.41	9.41	9.4	9.41	9.41	9.41	9.41
9.41	9.41	9.4	9.42	9.41	9.42	9.42
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.42
9.41	9.42	9.41	9.41	9.41	9.41	9.42
9.42	9.41	9.4	9.41	9.4	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.42	9.42	9.42	9.39	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.42
9.4	9.41	9.42	9.41	9.42	9.42	9.41
9.42	9.41	9.41	9.42	9.38	9.42	9.4
9.41	9.42	9.41	9.42	9.42	9.41	9.41
9.41	9.4	9.42	9.41	9.41	9.41	4.0
9.41	9.42	9.42	9.42	9.41	9.41	0.0
9.41	9.41	9.41	9.41	9.41	9.41	7.37
9.41	9.42	9.41	9.42	9.41	9.42	9.41
9.41	9.41	9.42	9.41	9.4	9.42	9.41
9.41	9.41	9.42	9.42	9.41	9.41	9.42
9.42	9.41	9.41	9.4	9.42	9.42	9.41
9.41	9.41	9.42	9.42	9.42	9.42	9.42
9.41	9.41	9.41	9.42	9.41	9.41	9.42
9.41	9.41	9.42	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.42
9.4	9.41	9.39	9.42	9.41	9.41	9.41
9.4	9.42	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.4	9.42	9.41	9.41
9.41	9.41	9.37	9.4	9.41	9.41	9.41
9.42	9.41	9.41	9.36	9.41	9.41	9.42
9.41	9.42	9.41	9.42	9.42	9.4	9.41
9.42	9.41	9.42	9.39	9.41	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.42	9.42	9.41
9.42	9.42	9.41	9.41	9.42	9.41	9.4
9.41	9.41	9.41	9.42	9.41	9.4	9.41
9.42	9.41	9.42	9.42	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.42
9.42	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.41	9.42	9.42
9.39	9.4	9.4	9.4	9.36	9.4	9.41
9.41	9.39	9.41	9.41	9.41	9.41	9.4
9.41	9.38	9.41	9.37	9.19	9.35	9.41
9.4	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.4	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.4	9.41	9.41	9.41	9.41
9.41	9.41	9.4	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.42	9.39	9.4
9.41	9.41	9.41	9.42	9.41	9.41	9.4
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.42	9.41	9.41	9.41	9.41	9.42	9.42
9.42	9.42	9.41	9.42	9.41	9.39	9.41
9.41	9.41	9.4	9.42	9.41	9.41	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.39	9.42
9.41	9.42	9.41	9.41	9.41	9.4	9.41
9.42	9.41	9.4	9.42	9.41	9.41	9.41
9.41	9.42	9.42	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.39
9.41	9.42	9.41	9.42	9.41	9.41	9.39
9.42	9.4	9.41	9.41	9.41	9.41	9.39
9.42	9.42	9.42	9.41	9.35	9.41	9.42
9.41	9.41	9.42	9.41	9.43	9.42	9.4
9.41	9.41	9.41	9.41	9.39	9.41	9.41
9.42	9.4	9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.41	9.42	9.42
9.41	9.41	9.41	9.41	9.42	9.42	9.41
9.42	9.42	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.42	9.41
9.42	9.42	9.42	9.42	9.41	9.41	9.42
9.41	9.41	9.42	9.41	9.42	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.4	9.41
9.41	9.42	9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.42	9.42	9.4	9.41	9.41
9.41	9.41	9.41	9.39	9.41	9.41	9.4
9.41	9.41	9.4	9.39	9.39	9.42	9.42
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.41	9.41	9.42	9.41
9.42	9.42	9.41	9.42	9.42	9.41	9.41
9.42	9.41	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.4	9.42	9.41	9.42
9.4	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.42
9.42	9.42	9.42	9.41	9.42	9.4	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.42	9.42	9.41	9.41	9.42	9.42	9.41
9.42	9.41	9.42	9.42	9.41	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.41	9.41
9.38	9.36	9.39	9.38	9.4	9.4	9.41
9.41	9.41	9.41	9.4	9.41	9.41	9.4
9.4	9.41	9.41	9.36	9.26	9.31	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.4
9.41	9.4	9.41	9.41	9.41	9.41	9.4
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.39	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.4	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.4	9.39	9.41	9.41	9.37	9.41	9.4
9.37	9.4	9.41	9.41	9.4	9.41	9.4
9.42	9.41	9.41	9.42	9.41	9.41	9.41
9.42	9.41	9.37	9.42	9.42	9.41	9.41
9.42	9.42	9.42	9.41	9.39	9.41	9.41
9.41	9.41	9.4	9.42	9.42	9.42	9.42
9.42	9.42	9.41	9.42	9.41	9.41	9.4
9.41	9.41	9.41	9.41	9.35	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.41	9.41	9.41
9.41	9.42	9.41	9.4	9.41	9.42	9.41
9.42	9.41	9.42	9.35	9.41	9.41	9.42
9.42	9.41	9.41	9.41	9.42	9.41	9.42
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.42	9.42	9.41	9.41
