PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
-57 -48 75
-56 -48 80
-55 -48 130
-54 -48 169
-53 -48 237
-52 -48 349
-51 -48 402
-50 -48 461
-49 -48 600
-48 -48 560
-47 -48 791
-46 -48 879
-45 -48 1072
-44 -48 1311
-43 -48 1426
-42 -48 1441
-41 -48 1766
-40 -48 1888
-39 -48 2156
-38 -48 2302
-37 -48 2459
-36 -48 2820
-35 -48 2977
-34 -48 3083
-33 -48 3488
-32 -48 3933
-31 -48 4161
-30 -48 4522
-29 -48 4770
-28 -48 4993
-27 -48 5216
-26 -48 5213
-25 -48 5399
-24 -48 5471
-23 -48 5518
-22 -48 5706
-21 -48 5734
-20 -48 5837
-19 -48 5799
-18 -48 5847
-17 -48 6029
-16 -48 6039
-15 -48 6075
-14 -48 6235
-13 -48 6196
-12 -48 6340
-11 -48 6685
-10 -48 6814
-9 -48 6753
-8 -48 6976
-7 -48 7244
-6 -48 7487
-5 -48 7434
-4 -48 7413
-3 -48 7602
-2 -48 7685
-1 -48 7857
0 -48 7832
1 -48 8405
2 -48 8508
3 -48 8458
4 -48 8539
5 -48 8685
6 -48 8680
7 -48 8744
8 -48 8708
9 -48 8454
10 -48 7963
11 -48 7891
12 -48 8140
13 -48 7870
14 -48 7840
15 -48 7474
16 -48 7288
17 -48 7161
18 -48 6860
19 -48 6494
20 -48 6322
21 -48 6060
22 -48 5771
23 -48 5737
24 -48 5683
25 -48 5291
26 -48 5356
27 -48 5171
28 -48 5203
29 -48 4754
30 -48 4531
31 -48 4232
32 -48 4138
33 -48 4031
34 -48 3755
35 -48 3626
36 -48 3562
37 -48 3384
38 -48 3228
39 -48 2994
40 -48 2650
41 -48 2407
42 -48 2113
43 -48 2020
44 -48 1792
45 -48 1726
46 -48 1577
47 -48 1402
48 -48 1346
49 -48 1157
50 -48 1067
51 -48 1015
52 -48 805
53 -48 650
54 -48 544
55 -48 448
56 -48 369
57 -48 309
58 -48 255
59 -48 201
60 -48 228
-60 -47 41
-59 -47 63
-58 -47 73
-57 -47 86
-56 -47 128
-55 -47 173
-54 -47 235
-53 -47 261
-52 -47 314
-51 -47 390
-50 -47 514
-49 -47 568
-48 -47 573
-47 -47 668
-46 -47 896
-45 -47 1091
-44 -47 1259
-43 -47 1432
-42 -47 1766
-41 -47 1926
-40 -47 2102
-39 -47 2342
-38 -47 2436
-37 -47 3098
-36 -47 3211
-35 -47 3589
-34 -47 3815
-33 -47 4224
-32 -47 4513
-31 -47 4666
-30 -47 4871
-29 -47 5268
-28 -47 5297
-27 -47 5356
-26 -47 5710
-25 -47 5840
-24 -47 5778
-23 -47 5948
-22 -47 6089
-21 -47 6232
-20 -47 6167
-19 -47 6206
-18 -47 6160
-17 -47 6206
-16 -47 6279
-15 -47 6340
-14 -47 6380
-13 -47 6469
-12 -47 6483
-11 -47 6769
-10 -47 7149
-9 -47 7169
-8 -47 7381
-7 -47 7668
-6 -47 7697
-5 -47 8049
-4 -47 8071
-3 -47 8110
-2 -47 8223
-1 -47 8431
0 -47 8671
1 -47 8902
2 -47 9009
3 -47 9095
4 -47 8991
5 -47 9190
6 -47 9233
7 -47 9233
8 -47 9180
9 -47 8892
10 -47 8804
11 -47 8607
12 -47 8436
13 -47 8114
14 -47 8058
15 -47 7810
16 -47 7495
17 -47 7450
18 -47 7280
19 -47 7027
20 -47 6753
