time	P	Y	R
1.676	2.92E-05	2.50E-05	-1.37E-05
1.68	3.10E-05	2.73E-05	-1.10E-06
1.684	3.43E-05	4.08E-05	-7.59E-06
1.688	3.55E-05	3.91E-05	-1.17E-05
1.692	2.88E-05	4.92E-05	-3.04E-05
1.696	4.22E-05	4.76E-05	-2.04E-05
1.7	4.86E-05	4.56E-05	-1.01E-05
1.704	5.59E-05	4.39E-05	-3.41E-06
1.708	5.07E-05	4.19E-05	-2.07E-05
1.712	5.06E-05	3.60E-05	-3.49E-05
1.716	4.38E-05	2.70E-05	-5.99E-05
1.72	3.74E-05	2.94E-05	-6.64E-05
1.724	3.34E-05	2.78E-05	-6.20E-05
1.728	2.85E-05	2.22E-05	-6.07E-05
1.732	1.89E-05	2.45E-05	-6.43E-05
1.736	2.25E-05	1.92E-05	-6.81E-05
1.74	1.83E-05	1.37E-05	-6.26E-05
1.744	1.70E-05	1.61E-05	-4.81E-05
1.748	4.79E-06	1.84E-05	-3.11E-05
1.752	-8.26E-06	1.30E-05	-2.46E-05
1.756	-1.38E-05	1.13E-05	-1.67E-05
1.76	-2.39E-05	1.01E-05	-3.24E-05
1.764	-2.72E-05	1.63E-05	-4.86E-05
1.768	-2.22E-05	1.09E-05	-5.28E-05
1.772	-2.30E-05	2.51E-05	-6.02E-05
1.776	-2.37E-05	3.14E-05	-7.52E-05
1.78	-1.60E-05	3.71E-05	-6.78E-05
1.784	-2.89E-05	3.95E-05	-8.06E-05
1.788	-2.55E-05	3.73E-05	-8.52E-05
1.792	-3.12E-05	4.72E-05	-8.33E-05
1.796	-3.06E-05	3.77E-05	-8.56E-05
1.8	-3.03E-05	3.59E-05	-0.0001086810885
1.804	-3.24E-05	3.41E-05	-0.0001014833081
1.808	-3.64E-05	4.03E-05	-7.83E-05
1.812	-3.57E-05	3.06E-05	-9.02E-05
1.816	-2.93E-05	3.64E-05	-9.01E-05
1.82	-4.02E-05	3.89E-05	-0.000110585982
1.824	-4.53E-05	3.69E-05	-0.0001301468096
1.828	-4.04E-05	4.30E-05	-0.0001331088413
1.832	-4.23E-05	4.88E-05	-0.0001282869117
1.836	-4.03E-05	5.05E-05	-0.0001413167962
