Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 34586 connected to 10.0.0.2 port 5201
[  4] 225.00-226.00 sec   240 MBytes  2.01 Gbits/sec  171    710 KBytes       
[  4] 226.00-227.00 sec  1.09 GBytes  9.40 Gbits/sec    0    710 KBytes       
[  4] 227.00-228.00 sec  1.09 GBytes  9.40 Gbits/sec    0    710 KBytes       
[  4] 228.00-229.00 sec  1.09 GBytes  9.38 Gbits/sec    0    710 KBytes       
[  4] 229.00-230.00 sec  1.09 GBytes  9.41 Gbits/sec    2    571 KBytes       
[  4] 230.00-231.00 sec  1.09 GBytes  9.40 Gbits/sec    0    662 KBytes       
[  4] 231.00-232.00 sec   686 MBytes  5.76 Gbits/sec    1   1.41 KBytes       
[  4] 232.00-233.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 233.00-234.00 sec  1.05 GBytes  9.06 Gbits/sec  377    557 KBytes       
[  4] 234.00-235.00 sec  1.09 GBytes  9.39 Gbits/sec    0    641 KBytes       
[  4] 235.00-236.00 sec  1.10 GBytes  9.42 Gbits/sec    0    646 KBytes       
[  4] 236.00-237.00 sec  1.10 GBytes  9.41 Gbits/sec    0    658 KBytes       
[  4] 237.00-238.00 sec  1.09 GBytes  9.36 Gbits/sec    0    684 KBytes       
[  4] 238.00-239.00 sec  1.09 GBytes  9.40 Gbits/sec    0    694 KBytes       
[  4] 239.00-240.00 sec  1.10 GBytes  9.41 Gbits/sec    0    697 KBytes       
[  4] 240.00-241.00 sec  1.09 GBytes  9.41 Gbits/sec    0    707 KBytes       
[  4] 241.00-242.00 sec  1.09 GBytes  9.40 Gbits/sec    0    713 KBytes       
[  4] 242.00-243.00 sec  1.09 GBytes  9.41 Gbits/sec    0    723 KBytes       
[  4] 243.00-244.00 sec  1.10 GBytes  9.41 Gbits/sec    0    724 KBytes       
[  4] 244.00-245.00 sec  1.09 GBytes  9.41 Gbits/sec    0    731 KBytes       
[  4] 245.00-246.00 sec  1.09 GBytes  9.41 Gbits/sec    0    793 KBytes       
[  4] 246.00-247.00 sec  1.09 GBytes  9.40 Gbits/sec    0    851 KBytes       
[  4] 247.00-248.00 sec  1.09 GBytes  9.33 Gbits/sec    0    974 KBytes       
[  4] 248.00-249.00 sec  1.09 GBytes  9.39 Gbits/sec    0   1.00 MBytes       
[  4] 249.00-250.00 sec  1.09 GBytes  9.40 Gbits/sec    0   1.22 MBytes       
[  4] 250.00-251.00 sec  1.09 GBytes  9.40 Gbits/sec    2    984 KBytes       
[  4] 251.00-252.00 sec  1.10 GBytes  9.41 Gbits/sec    0   1.04 MBytes       
[  4] 252.00-253.00 sec  1.10 GBytes  9.41 Gbits/sec    0   1.04 MBytes       
[  4] 253.00-254.00 sec   480 MBytes  4.03 Gbits/sec    1   1.41 KBytes       
[  4] 254.00-255.00 sec   160 MBytes  1.34 Gbits/sec  677    553 KBytes       
[  4] 255.00-256.00 sec  1.09 GBytes  9.41 Gbits/sec    0    655 KBytes       
[  4] 256.00-257.00 sec  1.09 GBytes  9.41 Gbits/sec    0    667 KBytes       
[  4] 257.00-258.00 sec  1.09 GBytes  9.40 Gbits/sec    0    706 KBytes       
[  4] 258.00-259.00 sec  1.09 GBytes  9.38 Gbits/sec    0    730 KBytes       
[  4] 259.00-260.00 sec  1.10 GBytes  9.41 Gbits/sec    0    740 KBytes       
[  4] 260.00-261.00 sec   779 MBytes  6.53 Gbits/sec    1   1.41 KBytes       
[  4] 261.00-262.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 262.00-263.00 sec   978 MBytes  8.21 Gbits/sec  329    590 KBytes       
[  4] 263.00-264.00 sec  1.09 GBytes  9.40 Gbits/sec    0    591 KBytes       
[  4] 264.00-265.00 sec  1.09 GBytes  9.41 Gbits/sec    0    591 KBytes       
[  4] 265.00-266.00 sec  1.09 GBytes  9.41 Gbits/sec    0    591 KBytes       
[  4] 266.00-267.00 sec  1.10 GBytes  9.41 Gbits/sec    0    631 KBytes       
[  4] 267.00-268.00 sec  1.09 GBytes  9.40 Gbits/sec    0    642 KBytes       
[  4] 268.00-269.00 sec  1.10 GBytes  9.41 Gbits/sec    0    655 KBytes       
[  4] 269.00-270.00 sec  1.09 GBytes  9.41 Gbits/sec    0    655 KBytes       
[  4] 270.00-271.00 sec  1.09 GBytes  9.39 Gbits/sec   20    672 KBytes       
[  4] 271.00-272.00 sec  1.09 GBytes  9.41 Gbits/sec    2    573 KBytes       
[  4] 272.00-273.00 sec   934 MBytes  7.83 Gbits/sec    0    573 KBytes       
[  4] 273.00-274.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 274.00-275.00 sec   828 MBytes  6.94 Gbits/sec  369    632 KBytes       
